2022-11-28 10:25:07 INFO  Main:17 - thất bại
  2022-12-23 13:45:28 INFO  ClassWSImpl:36 - Thành công
  2022-12-23 13:45:30 INFO  dbHelper:49 - Thành công
  2022-12-23 13:45:39 INFO  ThreadOne:18 - Thành công
  2022-12-23 14:17:28 INFO  StudentWSImpl:20 - Thành công
  2022-12-23 14:19:48 INFO  StudentWSImpl:20 - Thành công
  2022-12-23 14:20:13 INFO  StudentWSImpl:20 - Thành công
  2022-12-23 14:23:44 INFO  StudentWSImpl:20 - Thành công
  2022-12-23 14:27:21 INFO  StudentWSImpl:20 - Thành công
  2022-12-23 14:32:31 INFO  StudentWSImpl:20 - Thành công
  2022-12-23 14:33:40 INFO  StudentWSImpl:20 - Thành công
  2022-12-23 14:35:29 INFO  StudentWSImpl:21 - Thành công
  2022-12-23 14:49:08 INFO  StudentWSImpl:21 - Thành công
  2022-12-23 14:49:34 INFO  StudentWSImpl:21 - Thành công
  2022-12-23 14:49:35 INFO  ClassWSImpl:22 - Thành công
  2022-12-23 14:49:37 INFO  dbHelper:52 - Thành công
  2022-12-23 14:49:37 INFO  ClassWSImpl:36 - Thành công
  2022-12-23 14:49:38 INFO  dbHelper:52 - Thành công
  2022-12-23 14:49:38 INFO  ThreadOne:18 - Thành công
  
